		Year of publication																																		
Armenian	Romanian		1		1	1	1			2			1		1				1			1	1			1		1								
Armenian	Russian		44	37	36	41	38	37	44	33	39	41	43	22	7	2	1	4	1	10	5	3	3	3	2	3	8	16	20	20	14	7	9			
Armenian	Serbian																1	2	2	1	1	1		1												
Armenian	Slovak		1	1	1		1	3		2	4	2	1																							
Armenian	Spanish						1							1													1		1	1	3	3				
Armenian	Swedish		1																1											1						
Armenian	Tajik		1				2		2	2			2		2																					
Armenian	Telugu		1			1																														
Armenian	Turkish												1			2								4					1				1			
Armenian	Turkmen		1	1				1		1																										
Armenian	Ukrainian		2	2	4	3	3	2	2	2	2	2	6		1																					
Armenian	Urdu		1		1						1																									
Armenian	Uzbek								3	3	1		1		1																					
Armenian, Middle (ca. 1100-1500)	English										1																	1								
Armenian, Old	Armenian									1				1																						
Armenian, Old	Bulgarian																															1				
Armenian, Old	English						1															1						1								
Armenian, Old	Georgian								1					1																						
Armenian, Old	Multiple languages									1																										
Armenian, Old	Russian						1	1	1				2	2				1		1											1	1				
Arrarnta, Western	English																			1						1										
Aruá	English																									1										
Asháninka	German																1																			
Ashéninka Pajonal	Spanish																					2														
Assamese	Bengali			1	1							1			2		2		1		1															
Assamese	English						1	1	1	2				4	2	1	2	1			2		1	1	2	3	8	4		1						
Assamese	Gujarati		1																																	
Assamese	Hindi		2	1									1	1	1	1		1	1			1		1	2	3	1	2								
Assamese	Kannada																					1		1		1										
Assamese	Marathi						1																		1											
Assamese	Oriya			1														1	1				2	3	1	1		3								
Assamese	Panjabi				1				1					1																						
Assamese	Polish															1		1			1															
Assamese	Swedish																								1											
Assamese	Tamil		1																																	
Assamese	Telugu										1															2										
Assamese	Urdu																								1			1								
Asturian; Bable	Aragonese																							1												
Asturian; Bable	Basque																					1		2												
Asturian; Bable	Catalan																					2		2												
Asturian; Bable	English																									1	1									
Asturian; Bable	Gallegan																			1	1	2	1	3				1	2		1					
Asturian; Bable	German																								1											
Asturian; Bable	Russian																							1												
Asturian; Bable	Spanish													3			1	1	1	1		4	2	7	1	3	4	7	4	2	2	6				
Athabascan languages, other	English																													1	1					
Atikamekw	Cree											1								1																
Aukan	Dutch		2	2	3		2	4	1		1				4	5																				
Aukan	English														1																					
Aukan	French																										1									
Australian languages, other	English																	1	2										1							
Australian languages, other	German											1								1																
Avaric	Armenian													1																						
Avaric	Azerbaijani							1																												
Avaric	Bengali							1																												
Avaric	Chinese																										1									
Avaric	Czech			1																																
Avaric	Dargwa			1																																
Avaric	English						1																													
Avaric	Farsi, Western; Persian									1																										
Avaric	Georgian					1				2																										
Avaric	German											1																								
Avaric	Gujarati									2																										
Avaric	Hausa			1																																
Avaric	Hindi											1		1																						
Avaric	Italian								1	1																										
Avaric	Kalmyk; Oirat						1																													
Avaric	Kara-Kalpak							1																												
Avaric	Kazakh				1	1				1																										
Avaric	Kirghiz					1									1																					
Avaric	Kumyk					1	1		1																											
Avaric	Lak						1																													
Avaric	Lezghian					1																														
Avaric	Moldavian		1																																	
Avaric	Mongolian, Halh																						1													
Avaric	Panjabi					1																														
Avaric	Polish		1																																	
Avaric	Russian		9	13	5	8	20	3	11	9	9	5	10	9	2	2	6	5	3									1	2	3	3					
Avaric	Tabassaran							1																												
Avaric	Tajik						1	1	1																											
Avaric	Turkish									1																										
Avaric	Turkmen						1		1																											
Avaric	Ukrainian		1		1		1			1																										
Avaric	Urdu		1																																	
Avaric	Uzbek					1	1		1																											
Avaric	Vietnamese							1																												
Avestan	Dutch																		1																	
Avestan	English						1		1								1					1														
Avestan	Farsi, Western; Persian										1												1					1								
Avestan	French																			1	1									1						
Avestan	German													1																						
Avestan	Italian																											1								
Avestan	Russian																1												1							
Avestan	Spanish															1							1													
Avestan	Tajik													1																						
Awadhi	Awadhi																											1								
Awadhi	English																											1								
Awadhi	Hindi																											1								
Aymara	English																		2																	
Aymara	French																														1					
Aymara	Spanish																		1					2							1					
Azerbaijani	Altai, Southern								1																											
Azerbaijani	Arabic			2	1	2									1									1			1									
Azerbaijani	Armenian		4	4	1	3		3	5	3	9	3																								
Azerbaijani	Belarusian							2	1	1	1		1			1																				
Azerbaijani	Bengali										1	1																								
Azerbaijani	Bulgarian			1																																
Azerbaijani	Czech		1					1			1			2																		1				
Azerbaijani	Dutch																							1												
Azerbaijani	English				2		4	5	3	5	6	2		1	1							1														
